census_tract,year,scenario,group,resp,rend,income_per_capita,income_class
354140605000253,2000,original,10a15s,27,50600,1874.0740740740741,from 10 to 15 mw
354140605000253,2000,original,15a20s,21,57550,2740.4761904761904,from 10 to 20 mw
354140605000253,2000,original,aci20s,17,165550,9738.235294117647,above 20 mw
354140605000249,2000,original,5a10sm,2,2700,1350,from 5 to 10 mw
354140605000249,2000,original,10a15s,5,10200,2040,from 10 to 15 mw
354140605000249,2000,original,15a20s,8,21600,2700,from 10 to 20 mw
354140605000249,2000,original,aci20s,30,218700,7290,above 20 mw
354140605000243,2000,original,meioa1,7,884,126.28571428571429,from 0.5 to 1 mw
354140605000243,2000,original,1a2sm,8,2165,270.625,from 1 to 2 mw
354140605000243,2000,original,2a3sm,15,5694,379.6,from 2 to 3 mw
354140605000243,2000,original,3a5sm,15,8712,580.8,from 3 to 5 mw
354140605000243,2000,original,5a10sm,5,6000,1200,from 5 to 10 mw
354140605000243,2000,original,10a15s,1,2000,2000,from 10 to 15 mw
354140605000243,2000,original,aci20s,4,30000,7500,above 20 mw
354140605000252,2000,original,meioa1,4,602,150.5,from 0.5 to 1 mw
354140605000252,2000,original,1a2sm,9,2167,240.77777777777777,from 1 to 2 mw
354140605000252,2000,original,2a3sm,9,3560,395.55555555555554,from 2 to 3 mw
354140605000252,2000,original,3a5sm,13,7166,551.2307692307693,from 3 to 5 mw
354140605000252,2000,original,5a10sm,15,14970,998,from 5 to 10 mw
354140605000252,2000,original,10a15s,6,11683,1947.1666666666667,from 10 to 15 mw
354140605000252,2000,original,15a20s,7,20733,2961.8571428571427,from 10 to 20 mw
354140605000252,2000,original,aci20s,33,228760,6932.121212121212,above 20 mw
354140605000080,2000,original,meioa1,3,0,0,from 0 to 0.5 mw
354140605000080,2000,original,1a2sm,2,0,0,from 0 to 0.5 mw
354140605000080,2000,original,2a3sm,8,3020,377.5,from 2 to 3 mw
354140605000080,2000,original,3a5sm,18,10440,580,from 3 to 5 mw
354140605000080,2000,original,5a10sm,39,42232,1082.871794871795,from 5 to 10 mw
354140605000080,2000,original,10a15s,21,41270,1965.2380952380952,from 10 to 15 mw
354140605000080,2000,original,15a20s,21,58600,2790.4761904761904,from 10 to 20 mw
354140605000080,2000,original,aci20s,40,238050,5951.25,above 20 mw
