census_tract,year,scenario,group,resp,rend,income_per_capita,income_class
350600305000121,2000,original,1a2sm,15,4207,280.46666666666664,from 1 to 2 mw
350600305000121,2000,original,2a3sm,28,10890,388.92857142857144,from 2 to 3 mw
350600305000121,2000,original,3a5sm,39,22837,585.5641025641025,from 3 to 5 mw
350600305000121,2000,original,5a10sm,30,33705,1123.5,from 5 to 10 mw
350600305000121,2000,original,10a15s,16,30602,1912.625,from 10 to 15 mw
350600305000121,2000,original,15a20s,7,17704,2529.1428571428573,from 10 to 20 mw
350600305000121,2000,original,aci20s,1,0,0,from 0 to 0.5 mw
350600305000080,2000,original,meioa1,6,906,151,from 0.5 to 1 mw
350600305000080,2000,original,1a2sm,7,1840,262.85714285714283,from 1 to 2 mw
350600305000080,2000,original,2a3sm,16,5976,373.5,from 2 to 3 mw
350600305000080,2000,original,3a5sm,34,20643,607.1470588235294,from 3 to 5 mw
350600305000080,2000,original,5a10sm,58,65955,1137.155172413793,from 5 to 10 mw
350600305000080,2000,original,10a15s,28,52590,1878.2142857142858,from 10 to 15 mw
350600305000080,2000,original,15a20s,22,60618,2755.3636363636365,from 10 to 20 mw
350600305000080,2000,original,aci20s,12,54816,4568,above 20 mw
350600305000118,2000,original,meioa1,24,3501,145.875,from 0.5 to 1 mw
350600305000118,2000,original,1a2sm,20,5478,273.9,from 1 to 2 mw
350600305000118,2000,original,2a3sm,28,10855,387.67857142857144,from 2 to 3 mw
350600305000118,2000,original,3a5sm,27,16214,600.5185185185185,from 3 to 5 mw
350600305000118,2000,original,5a10sm,64,66119,1033.109375,from 5 to 10 mw
350600305000118,2000,original,10a15s,19,35836,1886.1052631578948,from 10 to 15 mw
350600305000118,2000,original,15a20s,7,20100,2871.4285714285716,from 10 to 20 mw
350600305000118,2000,original,aci20s,8,42400,5300,above 20 mw
350600305000120,2000,original,meiosm,1,0,0,from 0 to 0.5 mw
350600305000120,2000,original,meioa1,10,0,0,from 0 to 0.5 mw
350600305000120,2000,original,1a2sm,17,4402,258.94117647058823,from 1 to 2 mw
350600305000120,2000,original,2a3sm,20,7834,391.7,from 2 to 3 mw
350600305000120,2000,original,3a5sm,42,24530,584.047619047619,from 3 to 5 mw
350600305000120,2000,original,5a10sm,76,83226,1095.078947368421,from 5 to 10 mw
350600305000120,2000,original,10a15s,23,43548,1893.391304347826,from 10 to 15 mw
350600305000120,2000,original,15a20s,13,35887,2760.5384615384614,from 10 to 20 mw
350600305000120,2000,original,aci20s,17,87022,5118.941176470588,above 20 mw
350600305000082,2000,original,meiosm,2,0,0,from 0 to 0.5 mw
350600305000082,2000,original,meioa1,16,0,0,from 0 to 0.5 mw
350600305000082,2000,original,1a2sm,17,4506,265.05882352941177,from 1 to 2 mw
350600305000082,2000,original,2a3sm,33,12899,390.8787878787879,from 2 to 3 mw
350600305000082,2000,original,3a5sm,41,25678,626.2926829268292,from 3 to 5 mw
350600305000082,2000,original,5a10sm,80,90394,1129.925,from 5 to 10 mw
350600305000082,2000,original,10a15s,41,78665,1918.658536585366,from 10 to 15 mw
350600305000082,2000,original,15a20s,34,97220,2859.4117647058824,from 10 to 20 mw
350600305000082,2000,original,aci20s,28,121918,4354.214285714285,above 20 mw
350600305000107,2000,original,meioa1,1,0,0,from 0 to 0.5 mw
350600305000107,2000,original,1a2sm,2,0,0,from 0 to 0.5 mw
350600305000107,2000,original,2a3sm,3,0,0,from 0 to 0.5 mw
350600305000107,2000,original,3a5sm,7,4030,575.7142857142857,from 3 to 5 mw
350600305000107,2000,original,5a10sm,34,38743,1139.5,from 5 to 10 mw
350600305000107,2000,original,10a15s,23,46400,2017.391304347826,from 10 to 15 mw
350600305000107,2000,original,15a20s,29,84600,2917.2413793103447,from 10 to 20 mw
350600305000107,2000,original,aci20s,104,820895,7893.221153846154,above 20 mw
350600305000072,2000,original,meiosm,2,0,0,from 0 to 0.5 mw
350600305000072,2000,original,meioa1,19,2727,143.52631578947367,from 0.5 to 1 mw
350600305000072,2000,original,1a2sm,26,6645,255.57692307692307,from 1 to 2 mw
350600305000072,2000,original,2a3sm,29,11065,381.55172413793105,from 2 to 3 mw
350600305000072,2000,original,3a5sm,41,24304,592.780487804878,from 3 to 5 mw
350600305000072,2000,original,5a10sm,66,69040,1046.060606060606,from 5 to 10 mw
350600305000072,2000,original,10a15s,13,24592,1891.6923076923076,from 10 to 15 mw
350600305000072,2000,original,15a20s,7,0,0,from 0 to 0.5 mw
350600305000072,2000,original,aci20s,5,20500,4100,above 20 mw
350600305000160,2000,original,meiosm,4,164,41,from 0 to 0.5 mw
350600305000160,2000,original,meioa1,24,3312,138,from 0.5 to 1 mw
350600305000160,2000,original,1a2sm,23,0,0,from 0 to 0.5 mw
350600305000160,2000,original,2a3sm,27,10381,384.48148148148147,from 2 to 3 mw
350600305000160,2000,original,3a5sm,37,21575,583.1081081081081,from 3 to 5 mw
350600305000160,2000,original,5a10sm,27,29352,1087.111111111111,from 5 to 10 mw
350600305000160,2000,original,10a15s,6,11322,1887,from 10 to 15 mw
350600305000160,2000,original,15a20s,1,0,0,from 0 to 0.5 mw
350600305000205,2000,original,meiosm,3,0,0,from 0 to 0.5 mw
350600305000205,2000,original,meioa1,22,3216,146.1818181818182,from 0.5 to 1 mw
350600305000205,2000,original,1a2sm,26,6695,257.5,from 1 to 2 mw
350600305000205,2000,original,2a3sm,33,12962,392.7878787878788,from 2 to 3 mw
350600305000205,2000,original,3a5sm,52,29933,575.6346153846154,from 3 to 5 mw
350600305000205,2000,original,5a10sm,43,47626,1107.5813953488373,from 5 to 10 mw
350600305000205,2000,original,10a15s,9,17650,1961.111111111111,from 10 to 15 mw
350600305000205,2000,original,15a20s,1,0,0,from 0 to 0.5 mw
350600305000205,2000,original,aci20s,3,0,0,from 0 to 0.5 mw
350600305000207,2000,original,meiosm,1,0,0,from 0 to 0.5 mw
350600305000207,2000,original,meioa1,16,2392,149.5,from 0.5 to 1 mw
350600305000207,2000,original,1a2sm,10,2762,276.2,from 1 to 2 mw
350600305000207,2000,original,2a3sm,13,5355,411.9230769230769,from 2 to 3 mw
350600305000207,2000,original,3a5sm,27,15565,576.4814814814815,from 3 to 5 mw
350600305000207,2000,original,5a10sm,40,43197,1079.925,from 5 to 10 mw
350600305000207,2000,original,10a15s,11,21200,1927.2727272727273,from 10 to 15 mw
350600305000207,2000,original,15a20s,2,0,0,from 0 to 0.5 mw
350600305000207,2000,original,aci20s,1,0,0,from 0 to 0.5 mw
350600305000159,2000,original,meioa1,14,2061,147.21428571428572,from 0.5 to 1 mw
350600305000159,2000,original,1a2sm,36,9108,253,from 1 to 2 mw
350600305000159,2000,original,2a3sm,35,13617,389.0571428571429,from 2 to 3 mw
350600305000159,2000,original,3a5sm,50,29918,598.36,from 3 to 5 mw
350600305000159,2000,original,5a10sm,36,37973,1054.8055555555557,from 5 to 10 mw
350600305000159,2000,original,10a15s,11,20763,1887.5454545454545,from 10 to 15 mw
350600305000159,2000,original,15a20s,6,16800,2800,from 10 to 20 mw
350600305000159,2000,original,aci20s,5,26500,5300,above 20 mw
350600305000111,2000,original,meioa1,8,1208,151,from 0.5 to 1 mw
350600305000111,2000,original,1a2sm,5,1290,258,from 1 to 2 mw
350600305000111,2000,original,2a3sm,14,5670,405,from 2 to 3 mw
350600305000111,2000,original,3a5sm,24,15211,633.7916666666666,from 3 to 5 mw
350600305000111,2000,original,5a10sm,67,75667,1129.358208955224,from 5 to 10 mw
350600305000111,2000,original,10a15s,33,63909,1936.6363636363637,from 10 to 15 mw
350600305000111,2000,original,15a20s,43,118600,2758.139534883721,from 10 to 20 mw
350600305000111,2000,original,aci20s,34,151908,4467.882352941177,above 20 mw
350600305000112,2000,original,meiosm,1,0,0,from 0 to 0.5 mw
350600305000112,2000,original,meioa1,25,3775,151,from 0.5 to 1 mw
350600305000112,2000,original,1a2sm,24,0,0,from 0 to 0.5 mw
350600305000112,2000,original,2a3sm,24,9344,389.3333333333333,from 2 to 3 mw
350600305000112,2000,original,3a5sm,50,29636,592.72,from 3 to 5 mw
350600305000112,2000,original,5a10sm,87,94612,1087.4942528735633,from 5 to 10 mw
350600305000112,2000,original,10a15s,27,51689,1914.4074074074074,from 10 to 15 mw
350600305000112,2000,original,15a20s,13,36800,2830.769230769231,from 10 to 20 mw
350600305000112,2000,original,aci20s,14,61750,4410.714285714285,above 20 mw
350600305000113,2000,original,meioa1,21,3170,150.95238095238096,from 0.5 to 1 mw
350600305000113,2000,original,1a2sm,35,8855,253,from 1 to 2 mw
350600305000113,2000,original,2a3sm,26,10445,401.7307692307692,from 2 to 3 mw
350600305000113,2000,original,3a5sm,62,36512,588.9032258064516,from 3 to 5 mw
350600305000113,2000,original,5a10sm,62,64642,1042.6129032258063,from 5 to 10 mw
350600305000113,2000,original,10a15s,26,48801,1876.9615384615386,from 10 to 15 mw
350600305000113,2000,original,15a20s,12,32100,2675,from 10 to 20 mw
350600305000113,2000,original,aci20s,10,52000,5200,above 20 mw
350600305000070,2000,original,meioa1,20,2966,148.3,from 0.5 to 1 mw
350600305000070,2000,original,1a2sm,22,5571,253.22727272727272,from 1 to 2 mw
350600305000070,2000,original,2a3sm,26,10010,385,from 2 to 3 mw
350600305000070,2000,original,3a5sm,56,33414,596.6785714285714,from 3 to 5 mw
350600305000070,2000,original,5a10sm,73,76761,1051.5205479452054,from 5 to 10 mw
350600305000070,2000,original,10a15s,23,44692,1943.1304347826087,from 10 to 15 mw
350600305000070,2000,original,15a20s,13,34400,2646.153846153846,from 10 to 20 mw
350600305000070,2000,original,aci20s,6,27210,4535,above 20 mw
350600305000203,2000,original,2a3sm,1,0,0,from 0 to 0.5 mw
350600305000203,2000,original,5a10sm,16,18181,1136.3125,from 5 to 10 mw
350600305000203,2000,original,10a15s,10,20500,2050,from 10 to 15 mw
350600305000203,2000,original,15a20s,12,0,0,from 0 to 0.5 mw
350600305000203,2000,original,aci20s,15,72800,4853.333333333333,above 20 mw
350600305000157,2000,original,meiosm,1,0,0,from 0 to 0.5 mw
350600305000157,2000,original,meioa1,45,6700,148.88888888888889,from 0.5 to 1 mw
350600305000157,2000,original,1a2sm,43,11852,275.6279069767442,from 1 to 2 mw
350600305000157,2000,original,2a3sm,38,14717,387.2894736842105,from 2 to 3 mw
350600305000157,2000,original,3a5sm,40,23370,584.25,from 3 to 5 mw
350600305000157,2000,original,5a10sm,33,33620,1018.7878787878788,from 5 to 10 mw
350600305000157,2000,original,10a15s,5,0,0,from 0 to 0.5 mw
350600305000157,2000,original,15a20s,6,17500,2916.6666666666665,from 10 to 20 mw
350600305000157,2000,original,aci20s,19,119000,6263.1578947368425,above 20 mw
350600305000069,2000,original,meioa1,20,3009,150.45,from 0.5 to 1 mw
350600305000069,2000,original,1a2sm,25,6257,250.28,from 1 to 2 mw
350600305000069,2000,original,2a3sm,25,9562,382.48,from 2 to 3 mw
350600305000069,2000,original,3a5sm,47,27957,594.8297872340426,from 3 to 5 mw
350600305000069,2000,original,5a10sm,38,39498,1039.421052631579,from 5 to 10 mw
350600305000069,2000,original,10a15s,8,0,0,from 0 to 0.5 mw
350600305000069,2000,original,15a20s,3,0,0,from 0 to 0.5 mw
350600305000110,2000,original,meioa1,46,6723,146.15217391304347,from 0.5 to 1 mw
350600305000110,2000,original,1a2sm,48,12596,262.4166666666667,from 1 to 2 mw
350600305000110,2000,original,2a3sm,36,14038,389.94444444444446,from 2 to 3 mw
350600305000110,2000,original,3a5sm,50,29451,589.02,from 3 to 5 mw
350600305000110,2000,original,5a10sm,34,34403,1011.8529411764706,from 5 to 10 mw
350600305000110,2000,original,10a15s,2,0,0,from 0 to 0.5 mw
350600305000110,2000,original,15a20s,5,13900,2780,from 10 to 20 mw
350600305000110,2000,original,aci20s,1,0,0,from 0 to 0.5 mw
350600305000071,2000,original,meioa1,30,4451,148.36666666666667,from 0.5 to 1 mw
350600305000071,2000,original,1a2sm,30,7916,263.8666666666667,from 1 to 2 mw
350600305000071,2000,original,2a3sm,22,8830,401.3636363636364,from 2 to 3 mw
350600305000071,2000,original,3a5sm,26,16217,623.7307692307693,from 3 to 5 mw
