census_tract,year,scenario,group,resp,rend,income_per_capita,income_class
350280405000273,2000,original,meioa1,27,3991,147.8148148148148,from 0.5 to 1 mw
350280405000273,2000,original,1a2sm,60,14889,248.15,from 1 to 2 mw
350280405000273,2000,original,2a3sm,46,17734,385.5217391304348,from 2 to 3 mw
350280405000273,2000,original,3a5sm,30,16890,563,from 3 to 5 mw
350280405000273,2000,original,5a10sm,12,12004,1000.3333333333334,from 5 to 10 mw
350280405000273,2000,original,10a15s,2,0,0,from 0 to 0.5 mw
350280405000273,2000,original,15a20s,2,0,0,from 0 to 0.5 mw
350280405000264,2000,original,meiosm,6,355,59.166666666666664,from 0 to 0.5 mw
350280405000264,2000,original,meioa1,44,6169,140.20454545454547,from 0.5 to 1 mw
350280405000264,2000,original,1a2sm,61,15922,261.0163934426229,from 1 to 2 mw
350280405000264,2000,original,2a3sm,37,14066,380.1621621621622,from 2 to 3 mw
350280405000264,2000,original,3a5sm,24,12822,534.25,from 3 to 5 mw
350280405000264,2000,original,5a10sm,8,7570,946.25,from 5 to 10 mw
350280405000264,2000,original,10a15s,1,0,0,from 0 to 0.5 mw
350280405000264,2000,original,15a20s,1,0,0,from 0 to 0.5 mw
350280405000266,2000,original,meiosm,1,0,0,from 0 to 0.5 mw
350280405000266,2000,original,meioa1,22,3214,146.0909090909091,from 0.5 to 1 mw
350280405000266,2000,original,1a2sm,32,8219,256.84375,from 1 to 2 mw
350280405000266,2000,original,2a3sm,16,6048,378,from 2 to 3 mw
350280405000266,2000,original,3a5sm,5,2710,542,from 3 to 5 mw
350280405000266,2000,original,5a10sm,4,0,0,from 0 to 0.5 mw
350280405000267,2000,original,meioa1,29,0,0,from 0 to 0.5 mw
350280405000267,2000,original,1a2sm,52,13406,257.8076923076923,from 1 to 2 mw
350280405000267,2000,original,2a3sm,24,8729,363.7083333333333,from 2 to 3 mw
350280405000267,2000,original,3a5sm,12,6330,527.5,from 3 to 5 mw
350280405000267,2000,original,5a10sm,3,0,0,from 0 to 0.5 mw
350280405000274,2000,original,meiosm,1,0,0,from 0 to 0.5 mw
350280405000274,2000,original,meioa1,27,0,0,from 0 to 0.5 mw
350280405000274,2000,original,1a2sm,65,16590,255.23076923076923,from 1 to 2 mw
350280405000274,2000,original,2a3sm,60,22816,380.26666666666665,from 2 to 3 mw
350280405000274,2000,original,3a5sm,27,15972,591.5555555555555,from 3 to 5 mw
350280405000274,2000,original,5a10sm,6,5930,988.3333333333334,from 5 to 10 mw
350280405000275,2000,original,meiosm,4,180,45,from 0 to 0.5 mw
